adjective	noun	GerCoAt-attribute	status
little	boy	age	collocation
accurate	accounting	precision	free
accurate	measurement	precision	free
accurate	reproduction	precision	free
accurate	scale	precision	free
inaccurate	thermometer	precision	free
inaccurate	translation	precision	free
incorrect	transcription	precision	free
sketchy	account	precision	free
new	car	age	collocation
new	comet	age	collocation
clear	complexion	appearance	collocation
brand-new	shoe	age	free
mature	cell	age	free
mature	cell	age	free
young	people	age	free
dusky	cheek	appearance	collocation
high	forehead	appearance	collocation
hollow	cheek	appearance	collocation
homely	child	appearance	collocation
plain	girl	appearance	collocation
dull	glow	brightness	collocation
beautiful	child	appearance	free
blond	Scandinavian	appearance	free
grotesque	serpent	appearance	free
light-haired	child	appearance	free
swarthy	face	appearance	free
ugly	face	appearance	free
wan	face	appearance	free
conscious	effort	cause	free
conscious	policy	cause	free
intended	insult	cause	free
intended	trip	cause	free
intentional	damage	cause	free
unnatural	death	cause	free
dull	silver	brightness	collocation
dull	sky	brightness	collocation
axiomatic	truth	certainty	collocation
clear	case	certainty	collocation
clear	explanation	certainty	collocation
clear	idea	certainty	collocation
clear	indication	certainty	collocation
clear-cut	evidence	certainty	collocation
confusing	signal	certainty	collocation
determinate	answer	certainty	collocation
marked	limp	certainty	collocation
near	hit	certainty	collocation
silent	consent	certainty	collocation
trenchant	distinction	certainty	collocation
unclear	action	certainty	collocation
conclusive	evidence	certainty	free
conclusive	proof	certainty	free
credible	information	certainty	free
credible	testimony	certainty	free
definitive	verdict	certainty	free
evident	hostility	certainty	free
explicit	instruction	certainty	free
implicit	agreement	certainty	free
implicit	anger	certainty	free
implicit	criticism	certainty	free
inconclusive	evidence	certainty	free
inconclusive	reply	certainty	free
indefinite	plan	certainty	free
manifest	disapproval	certainty	free
noticeable	lack	certainty	free
noticeable	shadow	certainty	free
obvious	error	certainty	free
pronounced	flavor	certainty	free
tacit	agreement	certainty	free
uncertain	consequence	certainty	free
uncertain	future	certainty	free
uncertain	origin	certainty	free
unmistakable	slavery	certainty	free
underhand	method	certainty	collocation
vivid	recollection	certainty	collocation
amiable	villain	character	collocation
attentive	nurse	character	collocation
attentive	suitor	character	collocation
base	rabble	character	collocation
benign	ruler	character	collocation
big	tipper	character	collocation
bold	speech	character	collocation
bubbly	child	character	collocation
bubbly	personality	character	collocation
courageous	example	character	collocation
drab	personality	character	collocation
invasive	tourist	character	collocation
liberal	backer	character	collocation
live	bunch	character	collocation
predatory	capitalist	character	collocation
acquisitive	mind	character	free
acquisitive	society	character	free
audacious	explorer	character	free
bold	settler	character	free
brave	man	character	free
brusque	manner	character	free
brutish	man	character	free
careless	housekeeper	character	free
careless	person	character	free
companionable	pet	character	free
confident	reply	character	free
confident	speaker	character	free
corruptible	judge	character	free
corteous	man	character	free
cowardly	dog	character	free
craven	fellow	character	free
curt	reply	character	free
diabolical	sorcerer	character	free
dishonest	politician	character	free
disloyal	aide	character	free
disobedient	child	character	free
docile	pupil	character	free
dutiful	child	character	free
faithful	employee	character	free
faithful	patriot	character	free
faithful	service	character	free
fearless	reporter	character	free
fiendish	despot	character	free
friendly	host	character	free
friendly	person	character	free
gallant	warrior	character	free
gluttonous	husband	character	free
godly	man	character	free
good-natured	play	character	free
good-natured	policeman	character	free
gruff	manner	character	free
heroic	explorer	character	free
honorable	man	character	free
inattentive	babysitter	character	free
inattentive	student	character	free
indulgent	parent	character	free
insincere	woman	character	free
intrepid	pioneer	character	free
irresponsible	action	character	free
irresponsible	idiot	character	free
loyal	supporter	character	free
loyal	friend	character	free
loyal	subject	character	free
magnanimous	conqueror	character	free
nagging	parent	character	free
negative	personality	character	free
obedient	child	character	free
obedient	colony	character	free
obedient	soldier	character	free
obstinate	child	character	free
permissive	parent	character	free
placid	temperament	character	free
playful	child	character	free
proud	prince	character	free
reckless	driver	character	free
refractory	child	character	free
responsible	adult	character	free
responsible	captain	character	free
sensible	person	character	free
serious	student	character	free
surly	waiter	character	free
teachable	youngster	character	free
unfaithful	lover	character	free
unsociable	behavior	character	free
unsociable	nature	character	free
unsociable	neighborhood	character	free
unwary	animal	character	free
unwary	reader	character	free
unwary	traveler	character	free
unwilling	assistant	character	free
valiant	soldier	character	free
vivacious	hostess	character	free
willing	helper	character	free
willing	participant	character	free
spoiled	child	character	collocation
timid	response	character	collocation
sultry	summer	climate	free
tropical	weather	climate	free
wet	weather	climate	free
dry	climate	climate	collocation
black	soil	color	free
bright	dress	color	free
brilliant	tapestry	color	free
light-colored	powder	color	free
silvery	hair	color	free
uncolored	water	color	free
vivid	plumage	color	free
white	dress	color	free
rank	earth	climate	collocation
bloodless	lip	color	collocation
full	game	completeness	collocation
full	attention	completeness	collocation
all-embracing	definition	completeness	free
complete	accounting	completeness	free
complete	meal	completeness	free
complete	set	completeness	free
complete	wardrobe	completeness	free
comprehensive	coverage	completeness	free
comprehensive	education	completeness	free
comprehensive	history	completeness	free
comprehensive	survey	completeness	free
exhaustive	study	completeness	free
fractional	share	completeness	free
incomplete	account	completeness	free
ready	bridge	completeness	free
universal	experience	completeness	free
whole	attention	completeness	free
whole	hog	completeness	free
whole	loaf	completeness	free
whole	wardrobe	completeness	free
whole	week	completeness	free
